,0,1,2,3
Five Feet High and Rising,"['N/A', {'Johnny Cash'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Johnny Cash'}]",,
Fixin' To Die Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Four Strong Winds,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Frankie & Albert,"['N/A', {'Traditional', 'Mississippi John Hurt'}]","['Good as I Been to You', {'Traditional', 'Mississippi John Hurt'}]",,
Freedom for the Stallion,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Froggie Went A-Courtin',"['Good as I Been to You', {'Traditional'}]","['N/A', {'Traditional'}]",,
Full Moon and Empty Arms,"['N/A', {'Ted Mossman', 'Buddy Kaye'}]","['Shadows in the Night', {'Ted Mossman', 'Buddy Kaye'}]",,
George Jackson,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Get Your Rocks Off,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Go 'Way Little Boy,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Going to New Orleans,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Good Old Mountain Dew,"['N/A', {'Bascom Lamar Lunsford', 'Scotty Wiseman'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Bascom Lamar Lunsford', 'Scotty Wiseman'}]",,
Gospel Plow,"['N/A', {'Traditional'}]","['Bob Dylan', {'Traditional'}]",,
Gotta Travel On,"['Self Portrait', {'Paul Clayton', 'David Lazar', 'Larry Ehrlich', 'Tom Six'}]","['N/A', {'Paul Clayton', 'David Lazar', 'Larry Ehrlich', 'Tom Six'}]",,
"Grammy Speech, 2015 from NYT","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Grand Coulee Dam,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Guess Things Happen That Way,"['N/A', {'Jack Clement'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Jack Clement'}]",,
"Guns, the Falcon's Mouthbook & Gashcat Unpunished","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Hallelujah,"['N/A', {'Leonard Cohen'}]",,,
Handsome Molly,"['Live at the Gaslight 1962', {'Traditional'}]","['N/A', {'Traditional'}]",,
Hard Times,"['N/A', {'Traditional', 'Stephen Foster'}]","['Good as I Been to You', {'Traditional', 'Stephen Foster'}]",,
Hark the Herald Angels Sing,"['Christmas in the Heart', {'Charles Wesley', 'George Whitefield', 'William H. Cummings', 'Felix Mendelssohn'}]","['N/A', {'Charles Wesley', 'George Whitefield', 'William H. Cummings', 'Felix Mendelssohn'}]",,
Have Yourself a Merry Little Christmas,"['N/A', {'Hugh Martin', 'Ralph Blane'}]","['Christmas in the Heart', {'Hugh Martin', 'Ralph Blane'}]",,
He Was a Friend of Mine,"['N/A', {'Traditional'}]","['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]",,
He's Funny That Way,"['N/A', {'Richard Whiting', 'Neil Moret'}]",,,
Here Comes Santa Claus,"['Christmas in the Heart', {'Oakley Haldeman', 'Gene Autry'}]","['N/A', {'Oakley Haldeman', 'Gene Autry'}]",,
Here's That Rainy Day,"['N/A', {'Jimmy Van Heusen', 'Johnny Burke'}]","['Triplicate', {'Jimmy Van Heusen', 'Johnny Burke'}]",,
Hiding Too Long,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Highway 51,"['Bob Dylan', {'Curtis Jones'}]","['N/A', {'Curtis Jones'}]",,
Hiram Hubbard,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Honey Babe,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
House Carpenter,"['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]","['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",
House of the Risin' Sun,"['N/A', {'Traditional'}]","['Bob Dylan', {'Traditional'}]",,
House of the Rising Sun,"['N/A', {'Traditional'}]",,,
How Deep Is the Ocean?,"['N/A', {'Irving Berlin'}]","['Triplicate', {'Irving Berlin'}]",,
Hurricane (cut),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
I Ain't Got No Home,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
I Can't Come In with a Broken Heart,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
I Can't Get You Off Of My Mind,"['N/A', {'Hank Williams'}]",,,
I Could Have Told You,"['N/A', {'Jimmy Van Heusen', 'Carl Sigman'}]","['Triplicate', {'Jimmy Van Heusen', 'Carl Sigman'}]",,
I Couldn't Sleep a Wink Last Night,"['N/A', {'Jimmy McHugh', 'Harold Adamson'}]","['Triplicate', {'Jimmy McHugh', 'Harold Adamson'}]",,
I Don't Hurt Anymore,"['N/A', {'Don Robertson', 'Jack Rollins'}]",,,
I Forgot More Than You'll Ever Know,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['1970', 'Self Portrait', ['N/A']]","['1970', 'Self Portrait', ['N/A']]"
I Guess I'll Have to Change My Plans,"['Triplicate', {'Howard Dietz', 'Arthur Schwartz'}]","['N/A', {'Howard Dietz', 'Arthur Schwartz'}]",,
I Still Miss Someone,"['N/A', {'Johnny Cash', 'Roy Cash Jr.'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Johnny Cash', 'Roy Cash Jr.'}]",,
I Walk the Line,"['N/A', {'Johnny Cash'}]","[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Johnny Cash'}]",,
I'd Have You Anytime,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
I'll Be Home for Christmas,"['N/A', {'Kim Gannon', 'Walter Kent', 'Buck Ram'}]","['Christmas in the Heart', {'Kim Gannon', 'Walter Kent', 'Buck Ram'}]",,
I'm Your Teenage Prayer,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
I'm a Fool to Want You,"['Shadows in the Night', {'Frank Sinatra', 'Jack Wolf', 'Joel Herron'}]","['N/A', {'Frank Sinatra', 'Jack Wolf', 'Joel Herron'}]",,
Imagination,"['Triplicate', {'Jimmy Van Heusen', 'Johnny Burke'}]","['N/A', {'Jimmy Van Heusen', 'Johnny Burke'}]",,
In My Time of Dyin',"['Bob Dylan', {'Blind Willie Johnson'}]","['N/A', {'Blind Willie Johnson'}]",,
In Search of Little Sadie,"['N/A', {'Traditional'}]","['Self Portrait', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",
In the Evening,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
In the Pines,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
It Gets Lonely Early,"['N/A', {'Jimmy Van Heusen', 'Sammy Cahn'}]","['Triplicate', {'Jimmy Van Heusen', 'Sammy Cahn'}]",,
It Had to Be You,"['N/A', {'Gus Kahn', 'Isham Jones'}]","['Fallen Angels', {'Gus Kahn', 'Isham Jones'}]",,
It Hurts Me Too,"['N/A', {'Traditional'}]","['Self Portrait', {'Traditional'}]",,
It Must Be Santa,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
It's Alright Mama,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
It's Funny to Everyone But Me,"['Triplicate', {'Jack Lawrence (songwriter)'}]","['N/A', {'Jack Lawrence (songwriter)'}]",,
Jack-A-Roe,"['N/A', {'Traditional'}]","['World Gone Wrong', {'Traditional'}]",,
James Alley Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Jim Jones,"['Good as I Been to You', {'Traditional'}]","['N/A', {'Traditional'}]",,
Johnny Todd,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Joshua Gone Barbados,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Just a Closer Walk with Thee,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Keep Your Hands Off Her,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Key To The Highway,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Kindhearted Woman Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Kingsport Town,"['N/A', {'Traditional'}]","['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]",,
Let It Be Me,"['Self Portrait', {'Gilbert Bécaud', 'Pierre Delanoë', 'Mann Curtis'}]","['N/A', {'Gilbert Bécaud', 'Pierre Delanoë', 'Mann Curtis'}]",,
Let's Keep It Between Us,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Let's Stick Together,"['N/A', {'Wilbert Harrison'}]","['Down in the Groove', {'Wilbert Harrison'}]",,
Like A Rolling Stone (Video),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Lily of the West,"['N/A', {'Traditional'}]","['Dylan (1973)', {'Traditional'}]",,
Little Drummer Boy,"['Christmas in the Heart', {'Katherine Kennicott Davis', 'Henry Onorati', 'Harry Simeone'}]","['N/A', {'Katherine Kennicott Davis', 'Henry Onorati', 'Harry Simeone'}]",,
Little Maggie,"['N/A', {'Traditional'}]","['Good as I Been to You', {'Traditional'}]",,
Little Sadie,"['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]","['Self Portrait', {'Traditional'}]",
Lone Pilgrim,"['World Gone Wrong', {'Benjamin Franklin W', 'Adger M. Pace'}]","['N/A', {'Benjamin Franklin W', 'Adger M. Pace'}]",,
Lonesome River Edge,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Lonesome Whistle Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Lost Highway,"['N/A', {'Leon Payne'}]",,,
Love Henry,"['World Gone Wrong', {'Traditional'}]","['N/A', {'Traditional'}]",,
Love Minus Zero/No Limit (Take 2),"['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]"
Lunatic Princess (Take 1),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]"
Mary Ann,"['Dylan (1973)', {'Traditional'}]","['N/A', {'Traditional'}]",,
Mary and the Soldier,"['N/A', {'Traditional'}]","['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'Traditional'}]",,
Matchbox,"[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Carl Perkins'}]","['N/A', {'Carl Perkins'}]",,
Maybe You'll Be There,"['Fallen Angels', {'Sammy Gallop', 'Rube Bloom'}]","['N/A', {'Sammy Gallop', 'Rube Bloom'}]",,
Melancholy Mood,"['N/A', {'Vick R. Knight, Sr.', 'Walter Schumann'}]","['Fallen Angels', {'Vick R. Knight, Sr.', 'Walter Schumann'}]",,
Milkcow's Calf Blues,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Miss the Mississippi,"['The Bootleg Series Vol. 8: Tell Tale Signs: Rare and Unreleased 1989-2006', {'Bill Halley'}]","['N/A', {'Bill Halley'}]",,
Moonshiner,"['N/A', {'Traditional'}]","['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]",,
Moonshiner [Gaslight 1962],"['N/A', {'Traditional'}]","['Live at the Gaslight 1962', {'Traditional'}]",,
Most Likely You Go Your Way,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Motherless Children,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Mr. Bojangles,"['Dylan (1973)', {'Jerry Jeff Walker'}]","['N/A', {'Jerry Jeff Walker'}]",,
Muleskinner Blues,"['N/A', {'Vaughn Horton', 'Jimmie Rodgers'}]",,,
MusiCares Person of the Year Speech,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Must Be Santa,"['Christmas in the Heart', {'William Fredericks', 'Hal Moore'}]","['N/A', {'William Fredericks', 'Hal Moore'}]",,
My Blue Eyed Jane,"['N/A', {'Jimmie Rodgers', 'LuLu Belle White'}]",,,
My Eyes,"['N/A', {'John Lennon'}]",,,
My One and Only Love,"['N/A', {'Guy Wood', 'Robert Mellin'}]","['Triplicate', {'Guy Wood', 'Robert Mellin'}]",,
Naomi Wise,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Nevertheless,"['N/A', {'Harry Ruby', 'Bert Kalmar'}]","['Fallen Angels', {'Harry Ruby', 'Bert Kalmar'}]",,
Night After Night,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Ninety Miles an Hour (Down a Dead End Street),"['N/A', {'Hal Blair', 'Don Robertson'}]","['Down in the Groove', {'Hal Blair', 'Don Robertson'}]",,
No More Auction Block,"['N/A', {'Traditional'}]","['The Bootleg Series Volumes 1-3 (Rare & Unreleased) 1961-1991', {'Traditional'}]",,
O' Come All Ye Faithful (Adeste Fideles),"['Christmas in the Heart', {'John Francis Wade', 'Frederick Oakeley'}]","['N/A', {'John Francis Wade', 'Frederick Oakeley'}]",,
O' Little Town of Bethlehem,"['N/A', {'Traditional'}]","['Christmas in the Heart', {'Traditional'}]",,
On a Little Street in Singapore,"['N/A', {'Billy Hill', 'Peter DeRose'}]","['Fallen Angels', {'Billy Hill', 'Peter DeRose'}]",,
On a Rainy Afternoon,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Once Upon a Time,"['N/A', {'Lee Adams', 'Charles Strouse'}]","['Triplicate', {'Lee Adams', 'Charles Strouse'}]",,
One for the Road,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Outlaw Blues (Take 2),"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]","['2016', 'The Bootleg Series Vol. 12: The Cutting Edge (Collectors Edition)', ['N/A']]"
P.S. I Love You,"['Triplicate', {'Gordon Jenkins', 'Johnny Mercer'}]","['N/A', {'Gordon Jenkins', 'Johnny Mercer'}]",,
People Get Ready,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Polka Dots and Moonbeams,"['Fallen Angels', {'Jimmy Van Heusen', 'Johnny Burke'}]","['N/A', {'Jimmy Van Heusen', 'Johnny Burke'}]",,
Poor Lazarus,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Precious Memories,"['Knocked Out Loaded', {'Traditional', 'J.B.F. Wright'}]","['N/A', {'Traditional', 'J.B.F. Wright'}]",,
Pretty Boy Floyd,"['N/A', {'Woody Guthrie'}]",,,
Pretty Polly,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Pretty Saro,"['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]","['N/A', {'Traditional'}]",,
Ragged and Dirty,"['World Gone Wrong', {'Willie Brown'}]","['N/A', {'Willie Brown'}]",,
Railroad Bill,"['N/A', {'Traditional'}]","['The Bootleg Series Vol. 10: Another Self Portrait (1969-1971)', {'Traditional'}]",,
"Rambler, Gambler","['N/A', {'Traditional'}]","['The Bootleg Series Vol. 7: No Direction Home: The Soundtrack', {'Traditional'}]",,
Ramblin' on My Mind,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Rank Strangers to Me,"['Down in the Groove', {'Albert E. Brumley'}]","['N/A', {'Albert E. Brumley'}]",,
Red Cadillac and a Black Moustache,"['N/A', {'Lillian May', 'Willie Bea Thompson'}]",,,
Return To Me,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Ring of Fire,"[""The Bootleg Series Vol. 15: Travelin' Thru, 1967-1969"", {'Merle Kilgore', 'June Carter Cash'}]","['N/A', {'Merle Kilgore', 'June Carter Cash'}]",,
Rita May,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Roving Gambler,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Sally Sue Brown,"['N/A', {'Earl Montgomery', 'Arthur June Alexander', 'Tom Stafford'}]","['Down in the Groove', {'Earl Montgomery', 'Arthur June Alexander', 'Tom Stafford'}]",,
Sarah Jane,"['Dylan (1973)', {'Traditional'}]","['N/A', {'Traditional'}]",,
See That My Grave Is Kept Clean,"['N/A', {'Blind Lemon Jefferson'}]","['Bob Dylan', {'Blind Lemon Jefferson'}]",,
Senor,"['N/A', 'N/A', ['N/A']]","['N/A', 'N/A', ['N/A']]",,
Sentimental Journey,"['N/A', {'Les Brown', 'Bud Green', 'Ben Homer'}]","['Triplicate', {'Les Brown', 'Bud Green', 'Ben Homer'}]",,
