album title,song title,song id,year
The Beatles Bootleg Recordings 1963,A Taste of Honey (Take 6),5343664,2013
On Air - Live At The BBC Volume 2,Absolutely Fab,4696357,2013
Let It Be,Across the Universe,123444,1970
1967-1970 (The Blue Album),Across the Universe,123444,1973
N/A,Across the Universe,123444,N/A
The Beatles Ballads,Across the Universe,123444,1980
The Beatles - Meditation Mix,Across the Universe,123444,2020
Let It Be... Naked,Across the Universe,123444,2003
Anthology Highlights,Across the Universe,123444,2011
N/A,Across the Universe (Take 2),5373560,N/A
Anthology 2,Across the Universe (Take 2),5373560,1996
N/A,Across the Universe (Take 6),4078663,N/A
The Beatles (White Album) [Super Deluxe],Across the Universe (Take 6),4078663,2018
Rarities,Across the Universe (Wildlife Version),1679385,1978
N/A,Across the Universe (Wildlife Version),1679385,N/A
Past Masters * Volume Two,Across the Universe (Wildlife Version),1679385,1988
The U.S. Albums,Act Naturally,123816,2014
Help! (UK),Act Naturally,123816,1965
The Beatles (The Original Studio Recordings) Boxset,Act Naturally,123816,2009
Yesterday (EP),Act Naturally,123816,1966
Yesterday and Today,Act Naturally,123816,1966
N/A,Act Naturally,123816,N/A
N/A,Ain't Nothing Shakin' (But The Leaves),4817134,N/A
"Live! at the Star-Club in Hamburg, Germany; 1962",Ain't Nothing Shakin' (But The Leaves),4817134,1977
N/A,Ain't She Sweet (Anthology 1 version),210540,N/A
Anthology 1,Ain't She Sweet (Anthology 1 version),210540,1995
Les Beatles,Ain't She Sweet (Anthology 1 version),210540,1964
Ain't She Sweet,Ain't She Sweet (Anthology 1 version),210540,1964
N/A,Ain't She Sweet (Anthology 3 version),5491615,N/A
Anthology 3,Ain't She Sweet (Anthology 3 version),5491615,1996
N/A,Ain't She Sweet (John Lennon vocal),5801683,N/A
Very Together,Ain't She Sweet (John Lennon vocal),5801683,1969
The Beatles (The Original Studio Recordings) Boxset,All I've Got to Do,123414,2009
With the Beatles,All I've Got to Do,123414,1963
Meet the Beatles!,All I've Got to Do,123414,1964
N/A,All I've Got to Do,123414,N/A
The U.S. Albums,All I've Got to Do,123414,2014
Anthology 1,All My Loving,123415,1995
The U.S. Albums,All My Loving,123415,2014
Meet the Beatles!,All My Loving,123415,1964
With the Beatles,All My Loving,123415,1963
1962-1966 (The Red Album),All My Loving,123415,1973
Four by the Beatles (EP),All My Loving,123415,1964
All My Loving (EP),All My Loving,123415,1964
The Beatles (The Original Studio Recordings) Boxset,All My Loving,123415,2009
N/A,All My Loving,123415,N/A
The Japan Box,All My Loving,123415,2014
The Beatles Ballads,All My Loving,123415,1980
Live At The BBC. Disk 2,All My Loving [Live at the BBC Disk 2],5402939,1994
N/A,All My Loving [Live at the BBC Disk 2],5402939,N/A
The Beatles at the Hollywood Bowl,All My Loving [Live at the Hollywood Bowl],5376402,1977
Live at the Hollywood Bowl,All My Loving [Live at the Hollywood Bowl],5376402,2016
N/A,All My Loving [Live at the Hollywood Bowl],5376402,N/A
N/A,All Things Must Pass (Demo),210712,N/A
Anthology 3,All Things Must Pass (Demo),210712,1996
Anthology Highlights,All Things Must Pass (Demo),210712,2011
Yellow Submarine,All Together Now,123437,1969
N/A,All Together Now,123437,N/A
Yellow Submarine Songtrack,All Together Now,123437,1999
N/A,All Together on the Wireless Machine,1497768,N/A
1967-1970 (The Blue Album),All You Need Is Love,71028,1973
Yellow Submarine Songtrack,All You Need Is Love,71028,1999
The Beatles - At Home with the Beatles,All You Need Is Love,71028,2020
The Singles Collection,All You Need Is Love,71028,2019
Magical Mystery Tour (US),All You Need Is Love,71028,1967
20 Greatest Hits,All You Need Is Love,71028,1982
N/A,All You Need Is Love,71028,N/A
Yellow Submarine,All You Need Is Love,71028,1969
Reel Music,All You Need Is Love,71028,1982
1,All You Need Is Love,71028,2000
Love,All You Need Is Love (LOVE Version),5169314,2006
N/A,All You Need Is Love (LOVE Version),5169314,N/A
A Hard Day's Night (US),And I Love Her,123533,1964
Love Songs,And I Love Her,123533,1977
The U.S. Albums,And I Love Her,123533,2014
Something New,And I Love Her,123533,1964
The Beatles (The Original Studio Recordings) Boxset,And I Love Her,123533,2009
A Hard Day's Night (UK),And I Love Her,123533,1964
Reel Music,And I Love Her,123533,1982
1962-1966 (The Red Album),And I Love Her,123533,1973
The Beatles Ballads,And I Love Her,123533,1980
N/A,And I Love Her,123533,N/A
Anthology 1,And I Love Her,123533,1995
A Hard Day's Night (US),And I Love Her (Instrumental),5093038,1964
The U.S. Albums,And I Love Her (Instrumental),5093038,2014
N/A,And Your Bird Can Sing,106576,N/A
The U.S. Albums,And Your Bird Can Sing,106576,2014
Revolver (UK),And Your Bird Can Sing,106576,1966
The Beatles (The Original Studio Recordings) Boxset,And Your Bird Can Sing,106576,2009
Strawberry Fields Forever / Penny Lane (EP),And Your Bird Can Sing,106576,1967
Tomorrow Never Knows,And Your Bird Can Sing,106576,2012
Yesterday and Today,And Your Bird Can Sing,106576,1966
Anthology 2,And Your Bird Can Sing (Take 2),5373510,1996
N/A,And Your Bird Can Sing (Take 2),5373510,N/A
On Air - Live At The BBC Volume 2,Anna (Go To Him) (Live),4696333,2013
N/A,Anna (Go To Him) (Live),4696333,N/A
Please Please Me,Anna (Go to Him),209433,1963
The Early Beatles,Anna (Go to Him),209433,1965
No. 1,Anna (Go to Him),209433,1963
The Beatles (The Original Studio Recordings) Boxset,Anna (Go to Him),209433,2009
Twist and Shout,Anna (Go to Him),209433,1964
N/A,Anna (Go to Him),209433,N/A
Souvenir of Their Visit to America (EP),Anna (Go to Him),209433,1964
The U.S. Albums,Anna (Go to Him),209433,2014
Introducing... The Beatles,Anna (Go to Him),209433,1964
The Beatles (No. 1) EP,Anna (Go to Him),209433,1963
N/A,Another Beatles Christmas Record,1473041,N/A
The Beatles' Christmas Album,Another Beatles Christmas Record,1473041,1970
The Beatles Christmas Record Box,Another Beatles Christmas Record,1473041,2017
N/A,Another Girl,111336,N/A
The U.S. Albums,Another Girl,111336,2014
Help! (US),Another Girl,111336,1965
Help! (UK),Another Girl,111336,1965
The Beatles (The Original Studio Recordings) Boxset,Another Girl,111336,2009
The U.S. Albums,Another Hard Day's Night (Instrumental),5093094,2014
Help! (US),Another Hard Day's Night (Instrumental),5093094,1965
Anthology 3,Anthology 3 [Booklet],5592202,1996
N/A,Anthology 3 [Booklet],5592202,N/A
The U.S. Albums,Any Time at All,123537,2014
The Beatles (The Original Studio Recordings) Boxset,Any Time at All,123537,2009
Something New,Any Time at All,123537,1964
A Hard Day's Night (UK),Any Time at All,123537,1964
Extracts from the Album A Hard Day's Night (EP),Any Time at All,123537,1964
Rock 'n' Roll Music,Any Time at All,123537,1976
N/A,Any Time at All,123537,N/A
The Singles Collection,Ask Me Why,117714,2019
The U.S. Albums,Ask Me Why,117714,2014
The Early Beatles,Ask Me Why,117714,1965
Please Please Me,Ask Me Why,117714,1963
Twist and Shout,Ask Me Why,117714,1964
The Beatles (The Original Studio Recordings) Boxset,Ask Me Why,117714,2009
N/A,Ask Me Why,117714,N/A
All My Loving (EP),Ask Me Why,117714,1964
Introducing... The Beatles,Ask Me Why,117714,1964
Souvenir of Their Visit to America (EP),Ask Me Why,117714,1964
N/A,Ask Me Why (Live in Germany),4817138,N/A
"Live! at the Star-Club in Hamburg, Germany; 1962",Ask Me Why (Live in Germany),4817138,1977
On Air - Live At The BBC Volume 2,Ask Me Why (Live),4696372,2013
N/A,Ask Me Why (Live),4696372,N/A
N/A,Baby It's You,209442,N/A
The Japan Box,Baby It's You,209442,2014
The U.S. Albums,Baby It's You,209442,2014
Please Please Me,Baby It's You,209442,1963
The Beatles (The Original Studio Recordings) Boxset,Baby It's You,209442,2009
The Early Beatles,Baby It's You,209442,1965
Introducing... The Beatles,Baby It's You,209442,1964
Twist and Shout,Baby It's You,209442,1964
Baby It's You (EP),Baby It's You (Live / June 1963),6113194,1995
N/A,Baby It's You (Live / June 1963),6113194,N/A
N/A,"Baby It's You (Live at the BBC for ""Pop Go The Beatles"" / 11th June, 1963)",5373387,N/A
Live At The BBC. Disk 1,"Baby It's You (Live at the BBC for ""Pop Go The Beatles"" / 11th June, 1963)",5373387,1994
N/A,Baby's In Black [Live at the Hollywood Bowl] [Bonus Track],5376409,N/A
Live at the Hollywood Bowl,Baby's In Black [Live at the Hollywood Bowl] [Bonus Track],5376409,2016
Real Love (EP),Baby's In Black [Live at the Hollywood Bowl] [Bonus Track],5376409,1996
The U.S. Albums,Baby's in Black,123796,2014
"Beatles for Sale, No. 2 (EP)",Baby's in Black,123796,1965
The Beatles (The Original Studio Recordings) Boxset,Baby's in Black,123796,2009
Beatles '65,Baby's in Black,123796,1964
N/A,Baby's in Black,123796,N/A
Beatles for Sale,Baby's in Black,123796,1964
Yellow Submarine Songtrack,"Baby, You're a Rich Man",123870,1999
The Singles Collection,"Baby, You're a Rich Man",123870,2019
Magical Mystery Tour (US),"Baby, You're a Rich Man",123870,1967
The Beatles (The Original Studio Recordings) Boxset,"Baby, You're a Rich Man",123870,2009
The Beatles (EP),"Baby, You're a Rich Man",123870,1981
N/A,"Baby, You're a Rich Man",123870,N/A
The Beatles (The Original Studio Recordings) Boxset,Back in the U.S.S.R.,75661,2009
Tomorrow Never Knows,Back in the U.S.S.R.,75661,2012
1967-1970 (The Blue Album),Back in the U.S.S.R.,75661,1973
Rock 'n' Roll Music,Back in the U.S.S.R.,75661,1976
The Beatles (The White Album),Back in the U.S.S.R.,75661,1968
N/A,Back in the U.S.S.R.,75661,N/A
The Beatles (White Album) [Super Deluxe],Back in the U.S.S.R. (2018 Mix),4078813,2018
N/A,Back in the U.S.S.R. (2018 Mix),4078813,N/A
N/A,Back in the U.S.S.R. (Esher Demo),4078558,N/A
The Beatles (White Album) [Super Deluxe],Back in the U.S.S.R. (Esher Demo),4078558,2018
N/A,Back in the U.S.S.R. (LOVE Version),5174519,N/A
Love,Back in the U.S.S.R. (LOVE Version),5174519,2006
N/A,Back in the U.S.S.R. (Take 5 / Instrumental Backing Track),4078628,N/A
The Beatles (White Album) [Super Deluxe],Back in the U.S.S.R. (Take 5 / Instrumental Backing Track),4078628,2018
The U.S. Albums,Bad Boy,210239,2014
Rarities,Bad Boy,210239,1978
Past Masters * Volume One,Bad Boy,210239,1988
Rock 'n' Roll Music,Bad Boy,210239,1976
Beatles VI,Bad Boy,210239,1965
N/A,Bad Boy,210239,N/A
N/A,Bad to Me,1274297,N/A
Now Again!,Band on the Run,76786,1974
N/A,Be-Bop-A-Lula,975748,N/A
"Live! at the Star-Club in Hamburg, Germany; 1962",Be-Bop-A-Lula (Live in Germany),4817139,1977
N/A,Be-Bop-A-Lula (Live in Germany),4817139,N/A
First Live Recordings Volume One,Be-Bop-A-Lula (Live in Germany),4817139,1979
The U.S. Albums,Beatlemania In Action (Spoken Word),5093077,2014
N/A,Beatles For Sale - Foreward,4722671,N/A
Live At The BBC. Disk 1,"Beatles Greetings (Live at the BBC for ""The Public Ear"" / 3rd November, 1963)",210284,1994
N/A,"Beatles Greetings (Live at the BBC for ""The Public Ear"" / 3rd November, 1963)",210284,N/A
The U.S. Albums,Beatles Medley (Spoken Word),5093089,2014
N/A,Beatles Movie Medley,1082581,N/A
The U.S. Albums,Beatles Will Be Beatles (Spoken Word),5093081,2014
N/A,Beautiful Dreamer,861113,N/A
On Air - Live At The BBC Volume 2,Beautiful Dreamer,861113,2013
Abbey Road,Because,107908,1969
Anthology 3,Because,107908,1996
N/A,Because,107908,N/A
Abbey Road (Super Deluxe Edition),Because (2019 Mix),5307742,2019
N/A,Because (2019 Mix),5307742,N/A
Love,Because (LOVE Version),5165149,2006
N/A,Because (LOVE Version),5165149,N/A
N/A,Because (Take 1 / Instrumental),4773384,N/A
The Beatles - Study Songs Vol. 1,Because (Take 1 / Instrumental),4773384,2020
Abbey Road (Super Deluxe Edition),Because (Take 1 / Instrumental),4773384,2019
N/A,Because I Know You Love Me So,1458616,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),Being For The Benefit Of Mr. Kite! (Take 7),1754540,2017
Anthology 2,Being For The Benefit Of Mr. Kite! (Take 7),1754540,1996
N/A,Being For The Benefit Of Mr. Kite! (Take 7),1754540,N/A
N/A,Being For The Benefit Of Mr. Kite! (Takes 1 & 2),1544873,N/A
Anthology 2,Being For The Benefit Of Mr. Kite! (Takes 1 & 2),1544873,1996
N/A,Being for the Benefit of Mr. Kite!,76565,N/A
Sgt. Pepper's Lonely Hearts Club Band,Being for the Benefit of Mr. Kite!,76565,1967
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),Being for the Benefit of Mr. Kite!,76565,2017
The Beatles (The Original Studio Recordings) Boxset,Being for the Benefit of Mr. Kite!,76565,2009
N/A,Being for the Benefit of Mr. Kite! (2017 Remix),5307823,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),Being for the Benefit of Mr. Kite! (2017 Remix),5307823,2017
N/A,Being for the Benefit of Mr. Kite! (Speech from Before Take 1; Take 4 and Speech at the End),5307914,N/A
Sgt. Pepper's Lonely Hearts Club Band (Super Deluxe Edition),Being for the Benefit of Mr. Kite! (Speech from Before Take 1; Take 4 and Speech at the End),5307914,2017
N/A,Being for the Benefit of Mr. Kite! (Take 4),3112183,N/A
N/A,Being for the Benefit of Mr. Kite!/I Want You (She's So Heavy)/Helter Skelter,1828811,N/A
Love,Being for the Benefit of Mr. Kite!/I Want You (She's So Heavy)/Helter Skelter,1828811,2006
N/A,Being for the Benefit of Mr. Kite/I Want You (She's So Heavy)/Helter Skelter (LOVE Version),5165176,N/A
N/A,Besame Mucho,210550,N/A
Anthology 1,Besame Mucho,210550,1995
"Live! at the Star-Club in Hamburg, Germany; 1962",Besame Mucho (Live in Germany),4817119,1977
First Live Recordings Volume One,Besame Mucho (Live in Germany),4817119,1979
N/A,Besame Mucho (Live in Germany),4817119,N/A
Rock 'n' Roll Music,Birthday,76302,1976
The Beatles (The White Album),Birthday,76302,1968
The Beatles (The Original Studio Recordings) Boxset,Birthday,76302,2009
N/A,Birthday,76302,N/A
N/A,Birthday (2018 Mix),4078831,N/A
The Beatles (White Album) [Super Deluxe],Birthday (2018 Mix),4078831,2018
N/A,Birthday (Take 2 / Instrumental Backing Track),4078648,N/A
The Beatles (White Album) [Super Deluxe],Birthday (Take 2 / Instrumental Backing Track),4078648,2018
N/A,Blackbird,1556,N/A
The Beatles (The White Album),Blackbird,1556,1968
The Beatles Ballads,Blackbird,1556,1980
The Beatles (The Original Studio Recordings) Boxset,Blackbird,1556,2009
N/A,Blackbird (2018 Mix),4078823,N/A
The Beatles (White Album) [Super Deluxe],Blackbird (2018 Mix),4078823,2018
The Beatles (White Album) [Super Deluxe],Blackbird (Esher Demo),4078579,2018
N/A,Blackbird (Esher Demo),4078579,N/A
N/A,Blackbird (Take 28),4078609,N/A
The Beatles (White Album) [Super Deluxe],Blackbird (Take 28),4078609,2018
Anthology 3,Blackbird (Take 4),5262451,1996
Love,Blackbird/Yesterday,1807679,2006
N/A,Blackbird/Yesterday,1807679,N/A
N/A,Blackbird/Yesterday (LOVE Version),5166442,N/A
The Beatles (The Original Studio Recordings) Boxset,Blue Jay Way,109214,2009
Magical Mystery Tour (UK),Blue Jay Way,109214,1967
N/A,Blue Jay Way,109214,N/A
Magical Mystery Tour (US),Blue Jay Way,109214,1967
The Beatles (White Album) [Super Deluxe],Blue Moon (Studio Jam),4078643,2018
N/A,Blue Moon (Studio Jam),4078643,N/A
N/A,Blue Moon of Kentucky,955766,N/A
N/A,Blue Suede Shoes,1083656,N/A
N/A,Boys,209437,N/A
The Japan Box,Boys,209437,2014
The U.S. Albums,Boys,209437,2014
On Air - Live At The BBC Volume 2,Boys,209437,2013
Rock 'n' Roll Music,Boys,209437,1976
Please Please Me,Boys,209437,1963
Anthology 1,Boys,209437,1995
The Early Beatles,Boys,209437,1965
The Beatles (The Original Studio Recordings) Boxset,Boys,209437,2009
Introducing... The Beatles,Boys,209437,1964
Twist and Shout,"Boys (Live, Twist and Shout)",4407317,1964
N/A,"Boys (Live, Twist and Shout)",4407317,N/A
N/A,Boys [Live at the Hollywood Bowl],5376426,N/A
Live at the Hollywood Bowl,Boys [Live at the Hollywood Bowl],5376426,2016
The Beatles at the Hollywood Bowl,Boys [Live at the Hollywood Bowl],5376426,1977
Anthology 1,Brian Was a Beautiful Guy...He Presented Us Well (Interview),5376239,1995
On Air - Live At The BBC Volume 2,Bumper Bundle,4696387,2013
Now Again!,"Bye Bye, Love",401544,1974
On Air - Live At The BBC Volume 2,"Bye, Bye",4698591,2013
N/A,Can You Dig It?,1831212,N/A
The Beatles (The White Album),Can You Take Me Back,1336394,1968
N/A,Can You Take Me Back,1336394,N/A
The Beatles (White Album) [Super Deluxe],Can You Take Me Back? (Take 1),4078647,2018
N/A,Can You Take Me Back? (Take 1),4078647,N/A
The U.S. Albums,Can't Buy Me Love,51126,2014
A Hard Day's Night (US),Can't Buy Me Love,51126,1964
Requests (EP),Can't Buy Me Love,51126,1964
1962-1966 (The Red Album),Can't Buy Me Love,51126,1973
The Singles Collection,Can't Buy Me Love,51126,2019
1,Can't Buy Me Love,51126,2000
Live At The BBC. Disk 1,Can't Buy Me Love,51126,1994
Anthology Highlights,Can't Buy Me Love,51126,2011
The Beatles (The Original Studio Recordings) Boxset,Can't Buy Me Love,51126,2009
The Beatles' Million Sellers (EP),Can't Buy Me Love,51126,1965
A Hard Day's Night (UK),Can't Buy Me Love,51126,1964
Reel Music,Can't Buy Me Love,51126,1982
N/A,Can't Buy Me Love,51126,N/A
20 Greatest Hits,Can't Buy Me Love,51126,1982
Hey Jude,Can't Buy Me Love,51126,1970
Anthology 1,Can't Buy Me Love,51126,1995
The Japan Box,Can't Buy Me Love,51126,2014
The Beatles at the Hollywood Bowl,Can't Buy Me Love  [Live at the Hollywood Bowl],5376386,1977
N/A,Can't Buy Me Love  [Live at the Hollywood Bowl],5376386,N/A
Live at the Hollywood Bowl,Can't Buy Me Love  [Live at the Hollywood Bowl],5376386,2016
N/A,Carnival of Light,5482854,N/A
Live At The BBC. Disk 1,Carol,210310,1994
N/A,Carol,210310,N/A
N/A,Carry That Weight,107915,N/A
Abbey Road,Carry That Weight,107915,1969
Abbey Road (Super Deluxe Edition),Carry That Weight (2019 Mix),5307749,2019
N/A,Carry That Weight (2019 Mix),5307749,N/A
N/A,Cayenne,3541353,N/A
Anthology 1,Cayenne,3541353,1995
Twist and Shout,Chains,209435,1964
N/A,Chains,209435,N/A
The U.S. Albums,Chains,209435,2014
Please Please Me,Chains,209435,1963
The Beatles (No. 1) EP,Chains,209435,1963
The Early Beatles,Chains,209435,1965
No. 1,Chains,209435,1963
The Beatles (The Original Studio Recordings) Boxset,Chains,209435,2009
Introducing... The Beatles,Chains,209435,1964
On Air - Live At The BBC Volume 2,Chains (Live),4696368,2013
N/A,Chains (Live),4696368,N/A
N/A,Child of Nature,359344,N/A
The Beatles (White Album) [Super Deluxe],Child of Nature (Esher Demo),4078592,2018
N/A,Child of Nature (Esher Demo),4078592,N/A
The Beatles Christmas Record Box,Christmas Time (Is Here Again),292674,2017
N/A,Christmas Time (Is Here Again),292674,N/A
The Beatles' Christmas Album,Christmas Time (Is Here Again),292674,1970
Free As A Bird (EP),Christmas Time (Is Here Again),292674,1995
The Beatles (White Album) [Super Deluxe],Circles (Esher Demo),4078593,2018
N/A,Circles (Esher Demo),4078593,N/A
Live At The BBC. Disk 1,Clarabella,210330,1994
N/A,Clarabella,210330,N/A
N/A,Come Together,56218,N/A
1967-1970 (The Blue Album),Come Together,56218,1973
The Singles Collection,Come Together,56218,2019
Abbey Road,Come Together,56218,1969
1,Come Together,56218,2000
N/A,Come Together (2019 Mix),4885049,N/A
Abbey Road (Super Deluxe Edition),Come Together (2019 Mix),4885049,2019
Anthology 3,Come Together (Take 1),5262448,1996
Abbey Road (Super Deluxe Edition),Come Together (Take 5),4773378,2019
N/A,Come Together (Take 5),4773378,N/A
Love,Come Together/Dear Prudence/Cry Baby Cry,1325446,2006
N/A,Come Together/Dear Prudence/Cry Baby Cry,1325446,N/A
N/A,Come Together/Dear Prudence/Cry Baby Cry (LOVE Version),5166332,N/A
N/A,Come and Get It (Studio Demo),210718,N/A
Anthology 3,Come and Get It (Studio Demo),210718,1996
Abbey Road (Super Deluxe Edition),Come and Get It (Studio Demo),210718,2019
Anthology Highlights,Come and Get It (Studio Demo),210718,2011
N/A,Commonwealth,1664444,N/A
N/A,Crinsk Dee Night,210343,N/A
Live At The BBC. Disk 2,Crinsk Dee Night,210343,1994
The Beatles (The White Album),Cry Baby Cry,123834,1968
N/A,Cry Baby Cry,123834,N/A
The Beatles (The Original Studio Recordings) Boxset,Cry Baby Cry,123834,2009
The Beatles (White Album) [Super Deluxe],Cry Baby Cry (2018 Mix),4078841,2018
N/A,Cry Baby Cry (2018 Mix),4078841,N/A
The Beatles (White Album) [Super Deluxe],Cry Baby Cry (Esher Demo),4078589,2018
N/A,Cry Baby Cry (Esher Demo),4078589,N/A
Anthology 3,Cry Baby Cry (Take 1),5349825,1996
The Beatles (White Album) [Super Deluxe],Cry Baby Cry (Unumbered Rehearsal),4078617,2018
N/A,Cry Baby Cry (Unumbered Rehearsal),4078617,N/A
Anthology 1,Cry for a Shadow,1775800,1995
N/A,Cry for a Shadow,1775800,N/A
The Savage Young Beatles,Cry for a Shadow,1775800,1965
Very Together,Cry for a Shadow (Instrumental),5801693,1969
N/A,Cry for a Shadow (Instrumental),5801693,N/A
N/A,"Crying, Waiting, Hoping",210334,N/A
N/A,"Crying, Waiting, Hoping (Live at the BBC for ""Pop Go The Beatles"" / 6th August, 1963)",5373400,N/A
Live At The BBC. Disk 1,"Crying, Waiting, Hoping (Live at the BBC for ""Pop Go The Beatles"" / 6th August, 1963)",5373400,1994
Now Again!,Dark Horse,401583,1974
N/A,Day Tripper,114778,N/A
Past Masters * Volume Two,Day Tripper,114778,1988
20 Greatest Hits,Day Tripper,114778,1982
The U.S. Albums,Day Tripper,114778,2014
The Singles Collection,Day Tripper,114778,2019
1962-1966 (The Red Album),Day Tripper,114778,1973
1,Day Tripper,114778,2000
Yesterday and Today,Day Tripper,114778,1966
N/A,Dear Prudence,75662,N/A
The Beatles (The White Album),Dear Prudence,75662,1968
The Beatles (The Original Studio Recordings) Boxset,Dear Prudence,75662,2009
